Page #,Question #,Question Text,Answer
191,51,who was first actress to win Oscar for a non English film,Sophia Loren
191,57,Name the first Bond film not based on an Ian Fleming book,Goldeneye
191,62,In Friends where does Joey keep his favourite book,In the Freezer
191,64,Which silent films stars contract forbade him smiling on screen,Buster Keaton
191,65,Who drove a Rolls Royce with a number plate FAB 1,Parker in\nThunderbirds
191,67,An Antarctic island was named after which cartoon character,Huckleberry Hound
191,71,Baron Silas Greenback was the enemy of which character,Dangermouse
191,72,Which Shakespeare character had a daughter called Jessica,Shylock
191,74,In the original Star Trek who has unrequited love for Mr Spock,Nurse Chapel
191,80,In the original Star Trek series name Spock's mother,Amanda
191,86,Which TV detective kept his gun in a biscuit jar,Jim Rockford
191,87,In Monty Pythons Flying Circus Dinsdale was a giant what,Hedgehog
191,90,In TV series The Prisoner what's the name of the giant balloon,Rover
191,92,In the Rocky films what was the name of Rocky's wife,Adrian
191,95,In Ren and Stimpy what sort of dog is Ren,Chiuhauha
191,97,What was the name of James Bonds housekeeper,May
191,98,Released in 1908 what was the first ever horror film,Dr Jeckyll and Mr\nHyde
